Date,Close
10/11/2020,11350
10/12/2020,11564
10/13/2020,11437
10/14/2020,11396
10/15/2020,11544
10/16/2020,11314
10/17/2020,11356
10/18/2020,11447
10/19/2020,11732
10/20/2020,11904
10/21/2020,12853
10/22/2020,13128
10/23/2020,12941
10/24/2020,13103
10/25/2020,13040
10/26/2020,13025
10/27/2020,13632
10/28/2020,13208
10/29/2020,13482
10/30/2020,13644
10/31/2020,13841
11/1/2020,13816
11/2/2020,13622
11/3/2020,13733
11/4/2020,14002
11/5/2020,15244
11/6/2020,15561
11/7/2020,14846
11/8/2020,15347
11/9/2020,15392
11/10/2020,15393
11/11/2020,15799
11/12/2020,16150
11/13/2020,16287
11/14/2020,15997
11/15/2020,15865
11/16/2020,16717
11/17/2020,17627
11/18/2020,17781
11/19/2020,17939
11/20/2020,18586
11/21/2020,18638
11/22/2020,18585
11/23/2020,18426
11/24/2020,18938
11/25/2020,18846
11/26/2020,17122
11/27/2020,17037
11/28/2020,17764
11/29/2020,18267
11/30/2020,19376
12/1/2020,19089
12/2/2020,19161
12/3/2020,19465
12/4/2020,18833
12/5/2020,19019
12/6/2020,19246
12/7/2020,19087
12/8/2020,18784
12/9/2020,18550
12/10/2020,18352
12/11/2020,18106
12/12/2020,18794
12/13/2020,19182
12/14/2020,19201
12/15/2020,19431
12/16/2020,21240
12/17/2020,22767
12/18/2020,22911
12/19/2020,24004
12/20/2020,23494
12/21/2020,23146
12/22/2020,23434
12/23/2020,23299
12/24/2020,23384
12/25/2020,24409
12/26/2020,26648
12/27/2020,26303
12/28/2020,26634
12/29/2020,26870
12/30/2020,28896
12/31/2020,28966
1/1/2021,29259
1/2/2021,31690
1/3/2021,33581
1/4/2021,31027
1/5/2021,33788
1/6/2021,35848
1/7/2021,39596
1/8/2021,39927
1/9/2021,40769
1/10/2021,37984
1/11/2021,34184
1/12/2021,34766
1/13/2021,37248
1/14/2021,38863
1/15/2021,36324
1/16/2021,35785
1/17/2021,36530
1/18/2021,36255
1/19/2021,36494
1/20/2021,34892
1/21/2021,31275
1/22/2021,33375
1/23/2021,32340
1/24/2021,31934
1/25/2021,32643
1/26/2021,31993
1/27/2021,31030
1/28/2021,33274
1/29/2021,34715
1/30/2021,34649
1/31/2021,32626
2/1/2021,33667
2/2/2021,35686
2/3/2021,37284
2/4/2021,37712
2/5/2021,37853
2/6/2021,40103
2/7/2021,38610
2/8/2021,44797
2/9/2021,47357
2/10/2021,45039
2/11/2021,46943
2/12/2021,47853
2/13/2021,47210
2/14/2021,48921
2/15/2021,48183
2/16/2021,48642
2/17/2021,52333
2/18/2021,52059
2/19/2021,55493
2/20/2021,56501
2/21/2021,57332
2/22/2021,54919
2/23/2021,48016
2/24/2021,48720
2/25/2021,48199
2/26/2021,45621
2/27/2021,46844
2/28/2021,45255
3/1/2021,48844
3/2/2021,47477
3/3/2021,50952
3/4/2021,47924
3/5/2021,49138
3/6/2021,48583
3/7/2021,50104
3/8/2021,51896
3/9/2021,54313
3/10/2021,56932
3/11/2021,57721
3/12/2021,56981
3/13/2021,61002
3/14/2021,60173
3/15/2021,56398
3/16/2021,56379
3/17/2021,57834
3/18/2021,57533
3/19/2021,58426
3/20/2021,58466
3/21/2021,57792
3/22/2021,54610
3/23/2021,54346
3/24/2021,54175
3/25/2021,51989
3/26/2021,54014
3/27/2021,55916
3/28/2021,54863
3/29/2021,57176
3/30/2021,58671
3/31/2021,58932
4/1/2021,58855
4/2/2021,58655
4/3/2021,58063
4/4/2021,58030
4/5/2021,58810
4/6/2021,58244
4/7/2021,56157
4/8/2021,57681
4/9/2021,58354
4/10/2021,58621
4/11/2021,59607
4/12/2021,60011
4/13/2021,63196
4/14/2021,62357
4/15/2021,63381
4/16/2021,61962
4/17/2021,60843
4/18/2021,56239
4/19/2021,56175
4/20/2021,56852
4/21/2021,55029
4/22/2021,51843
4/23/2021,50620
4/24/2021,50955
4/25/2021,48075
4/26/2021,53297
4/27/2021,55067
4/28/2021,54456
4/29/2021,53006
4/30/2021,56803
5/1/2021,57700
5/2/2021,57016
5/3/2021,56826
5/4/2021,54842
5/5/2021,56854
5/6/2021,55987
5/7/2021,57699
5/8/2021,59014
5/9/2021,57982
5/10/2021,55328
5/11/2021,56942
5/12/2021,54540
5/13/2021,49253
5/14/2021,49351
5/15/2021,48255
5/16/2021,44062
5/17/2021,44843
5/18/2021,43318
5/19/2021,38390
5/20/2021,40108
5/21/2021,35263
5/22/2021,38086
5/23/2021,33791
5/24/2021,38999
5/25/2021,37656
5/26/2021,38731
5/27/2021,38476
5/28/2021,35245
5/29/2021,34266
5/30/2021,36115
5/31/2021,36677
6/1/2021,36330
6/2/2021,37739
6/3/2021,38693
6/4/2021,37071
6/5/2021,35826
6/6/2021,35897
6/7/2021,34471
6/8/2021,33638
6/9/2021,36406
6/10/2021,36410
6/11/2021,37331
6/12/2021,36041
6/13/2021,38830
6/14/2021,39809
6/15/2021,39949
6/16/2021,38550
6/17/2021,37752
6/18/2021,35493
6/19/2021,36193
6/20/2021,35853
6/21/2021,32622
6/22/2021,32895
6/23/2021,33066
6/24/2021,34857
6/25/2021,32212
6/26/2021,31329
6/27/2021,32648
6/28/2021,34721
6/29/2021,36156
6/30/2021,34585
7/1/2021,33411
7/2/2021,33124
7/3/2021,34715
7/4/2021,35542
7/5/2021,33847
7/6/2021,33941
7/7/2021,34550
7/8/2021,32788
7/9/2021,33508
7/10/2021,33329
7/11/2021,33859
7/12/2021,32833
7/13/2021,32519
7/14/2021,32811
7/15/2021,31748
7/16/2021,31850
7/17/2021,31755
7/18/2021,31663
7/19/2021,30793
7/20/2021,29864
7/21/2021,31864
7/22/2021,32257
7/23/2021,32477
7/24/2021,33919
7/25/2021,34481
7/26/2021,37598
7/27/2021,38000
7/28/2021,40068
7/29/2021,39722
7/30/2021,40860
7/31/2021,41516
8/1/2021,41310
8/2/2021,38857
8/3/2021,38113
8/4/2021,39706
8/5/2021,40908
8/6/2021,42673
8/7/2021,43945
8/8/2021,43855
8/9/2021,45482
8/10/2021,45627
8/11/2021,46340
8/12/2021,44440
8/13/2021,47545
8/14/2021,46665
8/15/2021,46750
8/16/2021,46065
8/17/2021,45017
8/18/2021,44593
8/19/2021,46568
8/20/2021,48653
8/21/2021,48988
8/22/2021,48425
8/23/2021,49509
8/24/2021,48364
8/25/2021,48748
8/26/2021,47048
8/27/2021,48946
8/28/2021,48760
8/29/2021,48897
8/30/2021,48670
8/31/2021,46996
9/1/2021,48279
9/2/2021,49556
9/3/2021,50184
9/4/2021,50195
9/5/2021,51652
9/6/2021,51930
9/7/2021,46777
9/8/2021,46154
9/9/2021,46268
9/10/2021,45094
9/11/2021,45333
9/12/2021,45023
9/13/2021,45144
9/14/2021,46828
9/15/2021,47948
9/16/2021,47102
9/17/2021,47028
9/18/2021,48008
9/19/2021,47588
9/20/2021,43489
9/21/2021,40971
9/22/2021,43445
9/23/2021,44679
9/24/2021,43001
9/25/2021,42719
9/26/2021,43607
9/27/2021,42696
9/28/2021,41792
9/29/2021,41114
9/30/2021,43432
10/1/2021,48110
10/2/2021,48045
10/3/2021,48552
10/4/2021,49016
10/5/2021,51378
10/6/2021,54903
10/7/2021,54205
10/8/2021,53951
10/9/2021,54651
10/10/2021,55425
10/11/2021,57390
